     phi1       Phi      phi2
  135.291   108.868    341.21
   149.71   95.9664   347.875
  105.785   106.552   9.44991
   122.46   90.2163   343.118
  177.496   84.6202    3.3454
  112.575   93.5351   350.847
  120.779    92.573   346.502
  165.904   104.647    354.64
  168.319   87.3311   351.771
  175.787    83.528   355.055
  133.562   82.3046  0.383266
  164.666   89.0033   350.706
   148.17   93.0425   6.91596
  106.896   89.1141   7.77963
  141.998   92.4044   3.11396
  114.722   88.8688   335.262
   157.45   94.5697    343.17
  148.926   105.478   359.576
   95.853   86.0336   350.539
  150.841   82.9424   353.498
  179.373   90.2625   2.62542
  103.486   93.7799   354.762
  158.933   87.7381   359.853
  150.683   97.5341   348.544
  180.779   78.8335   331.899
  315.328   136.688   75.4387
   17.004   125.071   81.8346
  315.722   143.348   78.8122
  329.682   149.971   94.7082
  330.381   145.363    83.148
  313.883   153.981   66.7692
  15.5532   127.729   58.1172
  324.381   123.812   75.8241
  343.087    139.64   95.3295
  3.30875   136.387   78.9663
  36.1198   140.348   93.4163
  28.4504   139.953   93.5462
  350.395    129.27   78.0323
  327.016   129.559   81.4716
  3.07979   132.208   95.2502
  15.3507   131.008   97.5422
  337.721   144.521   98.9502
  20.7488   131.799   85.7794
  304.963   137.005   63.5134
  328.884   129.284   96.3099
  44.4133   141.147   89.4475
  39.2228   127.395   101.472
  338.387   134.246   91.9082
  11.1222   126.141   90.5609
  9.70523   136.314   79.5312
   342.94   137.394   103.016
  351.337   135.063   89.3472
  23.1132   134.453   79.9375
  352.308   143.733   80.4252
  55.4136   130.641   109.891
  45.4585   128.022   98.7418
  345.158   121.637   91.0064
  349.971   135.475   105.264
  336.591   145.867   101.743
  351.224   120.303   48.9168
 0.229656   138.666   87.8493
  357.227   125.609   92.7026
  4.58959   134.272   71.6854
  347.458   132.096   66.5421
  14.3514   135.584   85.8561
  334.578   133.519   83.8543
   24.499   137.098   83.0667
  19.4269    141.49   91.8281
   24.398   128.929   89.7493
  39.5096   145.009    98.086
  348.817   137.497   70.5244
  321.583   148.436   92.6447
  15.7775   128.155   81.5772
  333.698   131.996   92.3888
  25.4965    154.62   89.1873
  15.4963   119.791    87.619
  43.6418   119.268   86.4405
 0.070036   126.363   84.5754
   35.258   141.957    87.136
  321.404   131.264   90.0062
  27.4207   159.585   89.6135
    11.21   143.139   105.621
  25.4941   124.211   87.0309
  348.864   134.132   102.097
  6.61883   126.716   98.0785
  346.262   126.584   109.837
  317.815   141.006   80.7274
  319.672   133.267   68.1942
  340.754   127.241   86.7103
  21.0561   137.871    98.211
  340.579    114.93   94.0947
  32.4697   129.804   101.837
  29.3325   136.944   82.7975
  353.393   134.256   89.3382
  20.2336   143.678   98.3743
  332.425   136.266   72.3673
  32.3493   130.525   73.2439
  315.476   137.945   78.1116
  8.68783    135.84   81.1973
  9.03738   124.183   106.794
  354.798   138.345   88.7731
  26.7978   134.572   71.2939
   22.913    150.74   89.8127
  51.3786   138.398   106.693
  325.199   128.308   89.0655
  24.5501   140.483   95.4454
  331.806   127.565   77.5305
   42.709   132.982   86.1388
  306.825   140.295   73.4375
  347.284   117.098   92.5257
  1.32494   128.904   63.6699
  321.673   117.651   75.4467
  348.956   152.283   87.1566
  328.187   139.625   94.2722
  15.9434   133.501   73.1762
  356.085   128.047   98.6142
   342.01    118.63   79.6789
  9.00036   123.554   90.1845
  44.0292   138.333   91.9233
   7.3448    125.43   94.3064
  34.8747   141.342   81.6171
  353.206   144.781   100.086
  29.1179   130.226   94.1489
  319.695   135.969   78.6095
  19.8709   148.238   71.0813
  33.3899   139.032   70.0686
  350.651   117.695   76.7177
  354.763    118.02   91.3471
  308.196   117.643   70.6614
  21.9504   140.903   113.271
  36.2158   132.496   96.1309
  12.5566   137.091   67.9154
  10.7396   127.921    90.846
  331.259   137.253   78.3613
  350.755   133.135   93.4639
  6.14704   134.077   82.3081
   326.51   135.835   93.5667
  6.63558   134.543   80.1994
  326.479   136.438   94.4391
   26.665   130.254   65.7959
  35.7524   133.512   74.8565
  25.9962   140.346   76.6669
  43.2556   130.065   90.2375
  47.8631   132.688    93.603
  324.826   148.307   81.8885
  326.078   127.324   93.8998
  319.275   133.096   76.2471
  38.0036   125.615   84.5144
  326.094    134.34   80.9955
  349.191   119.796   76.2322
  353.922   137.765   88.7901
   351.05   128.591   82.0298
  326.322   148.953   82.3704
  340.184   127.383   79.4467
  330.178   138.212   100.125
  33.9323   117.141   83.8559
  8.14839    143.78   78.2579
  21.2537   133.684    82.235
  40.4023    140.37   99.6345
  16.8495    144.11     84.03
  358.164   121.829    67.985
  7.65652   140.348   62.4006
  321.615   128.199   64.0269
  347.998   118.999   64.5483
  16.2875   146.305   98.6685
  341.306   120.879   91.8716
  3.92454   139.746   102.208
  15.2997   131.055   61.0189
   321.66   134.557   85.0075
  353.572   145.105   87.5346
  312.273    135.12   67.4051
